player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date,diff,actual,is_hit
SaddiqBey,AST,2.35,2.5,Over,bos,det,3186679901,2022-11-10T00:17:35Z,2.5,0.0,False
SaddiqBey,AST,1.58,2.5,Under,bos,det,3186679906,2022-11-10T00:17:35Z,2.5,0.0,True
BojanBogdanovic,3PM,1.98,2.5,Over,bos,det,3186679905,2022-11-10T00:17:35Z,1.5,1.0,False
BojanBogdanovic,3PM,1.8,2.5,Under,bos,det,3186679911,2022-11-10T00:17:35Z,1.5,1.0,True
J.Brown,3PM,1.98,2.5,Over,bos,det,3186679907,2022-11-10T00:17:35Z,0.5,2.0,False
J.Brown,3PM,1.81,2.5,Under,bos,det,3186679914,2022-11-10T00:17:35Z,0.5,2.0,True
J.Brown,PTS,1.87,24.5,Over,bos,det,3186679913,2022-11-10T00:17:35Z,5.5,30.0,True
J.Brown,PTS,1.91,24.5,Under,bos,det,3186679920,2022-11-10T00:17:35Z,5.5,30.0,False
MarcusSmart,3PM,1.77,1.5,Over,bos,det,3186679924,2022-11-10T00:17:35Z,1.5,0.0,False
MarcusSmart,3PM,2.02,1.5,Under,bos,det,3186679927,2022-11-10T00:17:35Z,1.5,0.0,True
JaysonTatum,3PM,1.6,2.5,Over,bos,det,3186679925,2022-11-10T00:17:35Z,2.5,5.0,True
JaysonTatum,3PM,2.32,2.5,Under,bos,det,3186679928,2022-11-10T00:17:35Z,2.5,5.0,False
JaysonTatum,ARP,1.91,39.5,Over,bos,det,3186679939,2022-11-10T00:17:35Z,2.5,37.0,False
JaysonTatum,ARP,1.87,39.5,Under,bos,det,3186679940,2022-11-10T00:17:35Z,2.5,37.0,True
JaysonTatum,PTS,1.95,27.5,Over,bos,det,3186679943,2022-11-10T00:17:35Z,3.5,31.0,True
JaysonTatum,PTS,1.83,27.5,Under,bos,det,3186679944,2022-11-10T00:17:35Z,3.5,31.0,False
MarcusSmart,PTS,2.0,12.5,Over,bos,det,3186679973,2022-11-10T00:17:35Z,10.5,2.0,False
MarcusSmart,PTS,1.79,12.5,Under,bos,det,3186679974,2022-11-10T00:17:35Z,10.5,2.0,True
J.Brown,ARP,1.81,34.5,Over,bos,det,3186680054,2022-11-10T00:17:35Z,5.5,40.0,True
J.Brown,ARP,1.97,34.5,Under,bos,det,3186680055,2022-11-10T00:17:35Z,5.5,40.0,False
MarcusSmart,REB,1.82,3.5,Over,bos,det,3186680057,2022-11-10T00:17:35Z,0.5,3.0,False
MarcusSmart,REB,1.97,3.5,Under,bos,det,3186680059,2022-11-10T00:17:35Z,0.5,3.0,True
J.Brown,REB,1.75,6.5,Over,bos,det,3186680060,2022-11-10T00:17:35Z,0.5,7.0,True
J.Brown,REB,2.06,6.5,Under,bos,det,3186680061,2022-11-10T00:17:35Z,0.5,7.0,False
MarcusSmart,AST,1.96,6.5,Over,bos,det,3186680081,2022-11-10T00:17:35Z,4.5,11.0,True
MarcusSmart,AST,1.82,6.5,Under,bos,det,3186680082,2022-11-10T00:17:35Z,4.5,11.0,False
SaddiqBey,ARP,1.83,21.5,Over,bos,det,3186680156,2022-11-10T00:17:35Z,0.5,22.0,True
SaddiqBey,ARP,1.95,21.5,Under,bos,det,3186680158,2022-11-10T00:17:35Z,0.5,22.0,False
SaddiqBey,PTS,1.78,14.5,Over,bos,det,3186680160,2022-11-10T00:17:35Z,3.5,18.0,True
SaddiqBey,PTS,2.02,14.5,Under,bos,det,3186680161,2022-11-10T00:17:35Z,3.5,18.0,False
JadenIvey,3PM,2.6,1.5,Over,bos,det,3186680162,2022-11-10T00:17:35Z,0.5,2.0,True
JadenIvey,3PM,1.49,1.5,Under,bos,det,3186680164,2022-11-10T00:17:35Z,0.5,2.0,False
SaddiqBey,3PM,2.55,2.5,Over,bos,det,3186680163,2022-11-10T00:17:35Z,1.5,1.0,False
SaddiqBey,3PM,1.5,2.5,Under,bos,det,3186680165,2022-11-10T00:17:35Z,1.5,1.0,True
IsaiahStewart,3PM,1.7,0.5,Over,bos,det,3186680166,2022-11-10T00:17:35Z,0.5,1.0,True
IsaiahStewart,3PM,2.12,0.5,Under,bos,det,3186680167,2022-11-10T00:17:35Z,0.5,1.0,False
IsaiahStewart,PTS,1.97,10.5,Over,bos,det,3186680170,2022-11-10T00:17:35Z,1.5,12.0,True
IsaiahStewart,PTS,1.82,10.5,Under,bos,det,3186680171,2022-11-10T00:17:35Z,1.5,12.0,False
JadenIvey,ARP,1.88,22.5,Over,bos,det,3186694114,2022-11-10T00:17:35Z,12.5,35.0,True
JadenIvey,ARP,1.9,22.5,Under,bos,det,3186694116,2022-11-10T00:17:35Z,12.5,35.0,False
CadeCunningham,PTS,1.89,21.5,Over,bos,det,3186694124,2022-11-10T00:17:35Z,17.5,4.0,False
CadeCunningham,PTS,1.89,21.5,Under,bos,det,3186694126,2022-11-10T00:17:35Z,17.5,4.0,True
BojanBogdanovic,PTS,2.0,16.5,Over,bos,det,3186694129,2022-11-10T00:17:35Z,0.5,17.0,True
BojanBogdanovic,PTS,1.8,16.5,Under,bos,det,3186694130,2022-11-10T00:17:35Z,0.5,17.0,False
BojanBogdanovic,ARP,1.84,21.5,Over,bos,det,3186694147,2022-11-10T00:17:35Z,1.5,20.0,False
BojanBogdanovic,ARP,1.95,21.5,Under,bos,det,3186694150,2022-11-10T00:17:35Z,1.5,20.0,True
CadeCunningham,ARP,1.98,33.5,Over,bos,det,3186694148,2022-11-10T00:17:35Z,24.5,9.0,False
CadeCunningham,ARP,1.81,33.5,Under,bos,det,3186694152,2022-11-10T00:17:35Z,24.5,9.0,True
IsaiahStewart,REB,1.98,9.5,Over,bos,det,3186694149,2022-11-10T00:17:35Z,0.5,10.0,True
IsaiahStewart,REB,1.81,9.5,Under,bos,det,3186694153,2022-11-10T00:17:35Z,0.5,10.0,False
JadenIvey,REB,2.02,4.5,Over,bos,det,3186694151,2022-11-10T00:17:35Z,5.5,10.0,True
JadenIvey,REB,1.78,4.5,Under,bos,det,3186694154,2022-11-10T00:17:35Z,5.5,10.0,False
CadeCunningham,AST,1.8,5.5,Over,bos,det,3186694156,2022-11-10T00:17:35Z,3.5,2.0,False
CadeCunningham,AST,2.0,5.5,Under,bos,det,3186694158,2022-11-10T00:17:35Z,3.5,2.0,True
IsaiahStewart,ARP,1.79,20.5,Over,bos,det,3186801346,2022-11-10T00:17:35Z,2.5,23.0,True
IsaiahStewart,ARP,2.0,20.5,Under,bos,det,3186801347,2022-11-10T00:17:35Z,2.5,23.0,False
JadenIvey,PTS,1.86,14.5,Over,bos,det,3186827647,2022-11-10T00:17:35Z,4.5,19.0,True
JadenIvey,PTS,1.92,14.5,Under,bos,det,3186827648,2022-11-10T00:17:35Z,4.5,19.0,False
LauriMarkkanen,REB,2.0,8.5,Over,atl,utah,3186613644,2022-11-10T00:13:27Z,0.5,8.0,False
LauriMarkkanen,REB,1.79,8.5,Under,atl,utah,3186613646,2022-11-10T00:13:27Z,0.5,8.0,True
JordanClarkson,3PM,1.89,2.5,Over,atl,utah,3186613651,2022-11-10T00:13:27Z,0.5,2.0,False
JordanClarkson,3PM,1.89,2.5,Under,atl,utah,3186613654,2022-11-10T00:13:27Z,0.5,2.0,True
LauriMarkkanen,3PM,2.32,2.5,Over,atl,utah,3186613661,2022-11-10T00:13:27Z,3.5,6.0,True
LauriMarkkanen,3PM,1.6,2.5,Under,atl,utah,3186613669,2022-11-10T00:13:27Z,3.5,6.0,False
MikeConley,REB,1.89,2.5,Over,atl,utah,3186613664,2022-11-10T00:13:27Z,1.5,1.0,False
MikeConley,REB,1.89,2.5,Under,atl,utah,3186613671,2022-11-10T00:13:27Z,1.5,1.0,True
JordanClarkson,AST,1.79,4.5,Over,atl,utah,3186613665,2022-11-10T00:13:27Z,0.5,5.0,True
JordanClarkson,AST,2.0,4.5,Under,atl,utah,3186613672,2022-11-10T00:13:27Z,0.5,5.0,False
MikeConley,3PM,2.55,2.5,Over,atl,utah,3186613702,2022-11-10T00:13:27Z,2.5,0.0,False
MikeConley,3PM,1.5,2.5,Under,atl,utah,3186613703,2022-11-10T00:13:27Z,2.5,0.0,True
LauriMarkkanen,PTS,1.93,20.5,Over,atl,utah,3186613704,2022-11-10T00:13:27Z,11.5,32.0,True
LauriMarkkanen,PTS,1.86,20.5,Under,atl,utah,3186613705,2022-11-10T00:13:27Z,11.5,32.0,False
JordanClarkson,PTS,1.85,18.5,Over,atl,utah,3186613707,2022-11-10T00:13:27Z,4.5,23.0,True
JordanClarkson,PTS,1.94,18.5,Under,atl,utah,3186613709,2022-11-10T00:13:27Z,4.5,23.0,False
MikeConley,PTS,1.97,13.5,Over,atl,utah,3186613712,2022-11-10T00:13:27Z,6.5,7.0,False
MikeConley,PTS,1.82,13.5,Under,atl,utah,3186613713,2022-11-10T00:13:27Z,6.5,7.0,True
JordanClarkson,REB,1.97,4.5,Over,atl,utah,3186613716,2022-11-10T00:13:27Z,0.5,4.0,False
JordanClarkson,REB,1.82,4.5,Under,atl,utah,3186613717,2022-11-10T00:13:27Z,0.5,4.0,True
LauriMarkkanen,ARP,1.96,31.5,Over,atl,utah,3186613727,2022-11-10T00:13:27Z,8.5,40.0,True
LauriMarkkanen,ARP,1.83,31.5,Under,atl,utah,3186613729,2022-11-10T00:13:27Z,8.5,40.0,False
LauriMarkkanen,AST,2.32,2.5,Over,atl,utah,3186613728,2022-11-10T00:13:27Z,2.5,0.0,False
LauriMarkkanen,AST,1.6,2.5,Under,atl,utah,3186613730,2022-11-10T00:13:27Z,2.5,0.0,True
JordanClarkson,ARP,1.95,28.5,Over,atl,utah,3186613733,2022-11-10T00:13:27Z,3.5,32.0,True
JordanClarkson,ARP,1.83,28.5,Under,atl,utah,3186613734,2022-11-10T00:13:27Z,3.5,32.0,False
MikeConley,ARP,1.83,22.5,Over,atl,utah,3186613739,2022-11-10T00:13:27Z,1.5,21.0,False
MikeConley,ARP,1.95,22.5,Under,atl,utah,3186613740,2022-11-10T00:13:27Z,1.5,21.0,True
MikeConley,AST,1.82,6.5,Over,atl,utah,3186613741,2022-11-10T00:13:27Z,6.5,13.0,True
MikeConley,AST,1.96,6.5,Under,atl,utah,3186613742,2022-11-10T00:13:27Z,6.5,13.0,False
AlperenSengun,REB,1.83,9.5,Over,tor,hou,3186608640,2022-11-10T00:10:08Z,1.5,8.0,False
